X,Y,id,name,highway
-72.7297699,42.8559415,265941162,Town Trail,footway
-72.729741,42.8560103,265941162,Town Trail,footway
-72.7296988,42.8560521,265941162,Town Trail,footway
-72.729619,42.856118,265941162,Town Trail,footway
-72.7295338,42.856202,265941162,Town Trail,footway
-72.7294601,42.856291,265941162,Town Trail,footway
-72.7294353,42.856317,265941162,Town Trail,footway
-72.7293937,42.8563362,265941162,Town Trail,footway
-72.7293561,42.85638,265941162,Town Trail,footway
-72.7293307,42.8564159,265941162,Town Trail,footway
-72.7292918,42.8564458,265941162,Town Trail,footway
-72.7292804,42.8564591,265941162,Town Trail,footway
-72.729271,42.8564886,265941162,Town Trail,footway
-72.7292033,42.8565668,265941162,Town Trail,footway
-72.7291892,42.8565913,265941162,Town Trail,footway
-72.7291168,42.8566887,265941162,Town Trail,footway
-72.7290591,42.8567442,265941162,Town Trail,footway
-72.7290296,42.8567884,265941162,Town Trail,footway
-72.7290168,42.8568248,265941162,Town Trail,footway
-72.7289974,42.8568494,265941162,Town Trail,footway
-72.7289867,42.8568691,265941162,Town Trail,footway
-72.7289511,42.8569128,265941162,Town Trail,footway
-72.7289196,42.8569659,265941162,Town Trail,footway
-72.7289002,42.8569826,265941162,Town Trail,footway
-72.7288707,42.8570539,265941162,Town Trail,footway
-72.7288324,42.8571021,265941162,Town Trail,footway
-72.728813,42.8571532,265941162,Town Trail,footway
-72.7288103,42.857165,265941162,Town Trail,footway
-72.7287895,42.8572225,265941162,Town Trail,footway
-72.7287828,42.8572579,265941162,Town Trail,footway
-72.7287392,42.8573547,265941162,Town Trail,footway
-72.7287057,42.8574108,265941162,Town Trail,footway
-72.7286621,42.8575243,265941162,Town Trail,footway
-72.7286132,42.8576187,265941162,Town Trail,footway
-72.7285991,42.8576374,265941162,Town Trail,footway
-72.7285568,42.8577671,265941162,Town Trail,footway
-72.7285515,42.8577784,265941162,Town Trail,footway
-72.7285139,42.8578369,265941162,Town Trail,footway
-72.7284891,42.8578753,265941162,Town Trail,footway
-72.7284616,42.8579465,265941162,Town Trail,footway
-72.7284073,42.8580193,265941162,Town Trail,footway
-72.7283517,42.8581392,265941162,Town Trail,footway
-72.7283014,42.8582302,265941162,Town Trail,footway
