X,Y,name
-72.7418415,42.8413237,Ho Chi Minh Trail
-72.7417999,42.8412441,Ho Chi Minh Trail
-72.7417677,42.8410897,Ho Chi Minh Trail
-72.7417007,42.8408458,Ho Chi Minh Trail
-72.741643,42.8407259,Ho Chi Minh Trail
-72.7416363,42.8407023,Ho Chi Minh Trail
-72.7416417,42.8406728,Ho Chi Minh Trail
-72.741643,42.8406452,Ho Chi Minh Trail
-72.7416229,42.8405282,Ho Chi Minh Trail
-72.7416323,42.8404899,Ho Chi Minh Trail
-72.7416443,42.8404722,Ho Chi Minh Trail
-72.7416376,42.8404328,Ho Chi Minh Trail
-72.7416376,42.8403856,Ho Chi Minh Trail
-72.7416108,42.8403129,Ho Chi Minh Trail
-72.7415813,42.8402234,Ho Chi Minh Trail
-72.741584,42.8401732,Ho Chi Minh Trail
-72.741588,42.8401329,Ho Chi Minh Trail
-72.741592,42.8400759,Ho Chi Minh Trail
-72.7416108,42.8400237,Ho Chi Minh Trail
-72.741647,42.8399274,Ho Chi Minh Trail
-72.7416698,42.8398871,Ho Chi Minh Trail
-72.7416685,42.8398418,Ho Chi Minh Trail
-72.7416658,42.8396864,Ho Chi Minh Trail
-72.7416618,42.8396324,Ho Chi Minh Trail
-72.7416859,42.8395714,Ho Chi Minh Trail
-72.741706,42.8395439,Ho Chi Minh Trail
-72.7417007,42.8395085,Ho Chi Minh Trail
-72.7416725,42.8393855,Ho Chi Minh Trail
-72.7416658,42.8393029,Ho Chi Minh Trail
-72.7416484,42.8392479,Ho Chi Minh Trail
-72.7416712,42.8392174,Ho Chi Minh Trail
-72.7416779,42.8392007,Ho Chi Minh Trail
-72.7416645,42.8391603,Ho Chi Minh Trail
-72.7416779,42.8390984,Ho Chi Minh Trail
-72.7416993,42.8390325,Ho Chi Minh Trail
-72.7417087,42.8389951,Ho Chi Minh Trail
-72.7417436,42.8389401,Ho Chi Minh Trail
-72.7417624,42.8388909,Ho Chi Minh Trail
-72.7417758,42.8388575,Ho Chi Minh Trail
-72.7417878,42.8388162,Ho Chi Minh Trail
-72.7418026,42.8387857,Ho Chi Minh Trail
-72.7417999,42.8387611,Ho Chi Minh Trail
-72.7417758,42.838707,Ho Chi Minh Trail
-72.7417731,42.8386047,Ho Chi Minh Trail
-72.7417865,42.8385379,Ho Chi Minh Trail
-72.7417827,42.8385062,Ho Chi Minh Trail
-72.7336812,42.8384705,Lower Loop
-72.7337,42.8382896,Lower Loop
-72.7336946,42.8382463,Lower Loop
-72.7336544,42.8381243,Lower Loop
-72.7336142,42.838028,Lower Loop
-72.7335954,42.8379513,Lower Loop
-72.733531,42.83779,Lower Loop
-72.7334532,42.837672,Lower Loop
-72.7334076,42.8376169,Lower Loop
-72.7333245,42.8375245,Lower Loop
-72.733244,42.837434,Lower Loop
-72.733177,42.8372924,Lower Loop
-72.7331501,42.8371842,Lower Loop
-72.7331314,42.8371036,Lower Loop
-72.7331045,42.8370741,Lower Loop
-72.7330724,42.8370544,Lower Loop
-72.7330563,42.8370131,Lower Loop
-72.7330429,42.8369285,Lower Loop
-72.7330429,42.8368656,Lower Loop
-72.7330724,42.8367692,Lower Loop
-72.7331099,42.8366787,Lower Loop
-72.7331582,42.8365725,Lower Loop
-72.7331609,42.8365371,Lower Loop
-72.7331931,42.8364938,Lower Loop
-72.7332869,42.8363935,Lower Loop
-72.7333755,42.8362657,Lower Loop
-72.733464,42.8361496,Lower Loop
-72.7335417,42.8360257,Lower Loop
-72.7336705,42.8359116,Lower Loop
-72.7337724,42.8358074,Lower Loop
-72.7338368,42.8357563,Lower Loop
-72.7338931,42.835654,Lower Loop
-72.7339012,42.8355714,Lower Loop
-72.7339307,42.8354573,Lower Loop
-72.7339736,42.8353452,Lower Loop
-72.7340031,42.8352114,Lower Loop
-72.733995,42.8350797,Lower Loop
-72.7339602,42.8349518,Lower Loop
-72.7339682,42.8347846,Lower Loop
-72.7339521,42.834643,Lower Loop
-72.7339843,42.8344522,Lower Loop
-72.7340165,42.8342831,Lower Loop
-72.7340675,42.8341375,Lower Loop
-72.7341131,42.8340136,Lower Loop
-72.7341292,42.8339054,Lower Loop
-72.7341748,42.8337343,Lower Loop
-72.7342096,42.8335868,Lower Loop
-72.7342123,42.8335159,Lower Loop
-72.7341962,42.8334766,Lower Loop
-72.7341694,42.8334333,Lower Loop
-72.7341426,42.8334196,Lower Loop
-72.7341399,42.8333999,Lower Loop
-72.7341452,42.8333625,Lower Loop
